source_id,title,provider,catalog_url,tasks,annotation_types,modalities,yolo_readiness,sam3_readiness,license,commercial_use,access,estimated_size,priority,summary,risk_notes,discovery_origin,last_seen_at
rtk:road-traversing-knowledge,Road Traversing Knowledge,Mendeley Data,https://doi.org/10.17632/hssswvmjwf.1,road scene understanding | road damage segmentation,pixel labels | road and damage classes,images,conversion_required,mask_ready,CC BY 4.0,allowed,direct_public,inspect release files before intake,P0,Road-centric segmentation samples for road inspection and promptable mask evaluation.,"Verify the release revision, labels and any visible vehicle or address data before importing.",curated,2026-09-06T07:19:42+00:00
taco:2020,TACO: Trash Annotations in Context,TACO Dataset,https://tacodataset.org/,litter detection | instance segmentation,COCO instance masks | bounding boxes,images,coco_convertible,mask_ready,CC BY 4.0,allowed,direct_public,"about 1,500 images; validate current release manifest",P0,Useful first intake for urban cleanliness and water-edge litter pilots.,"Retain attribution and inspect source images for identifiable people, plates or local restrictions before distribution.",curated,2026-09-06T07:19:42+00:00
coco:2017,COCO 2017,COCO Consortium,https://cocodataset.org/#home,object detection | instance segmentation | keypoints | captioning,COCO JSON boxes | instance polygons | keypoints,images | captions,coco_convertible,mask_ready,Image-level licenses; see COCO terms and image metadata,conditional,direct_public,2017 train/val/test images and annotations,P1,Core benchmark for common-object detection and segmentation conversion tests.,Use the official annotations but validate image-level rights and downstream commercial scope before copying any split.,curated,2026-09-06T07:19:42+00:00
rdd:2022,Road Damage Dataset 2022,CRDDC,https://crddc2022.sekilab.global/,road damage detection,damage bounding boxes,images,conversion_required,box_prompt_convertible,CC BY-SA 4.0 with source-specific street imagery terms,conditional,direct_public,"47,000+ images; intake by country and source",P1,Large road-damage benchmark covering multiple countries and road conditions.,Some imagery sources impose additional restrictions; keep country/source provenance and do not assume uniform commercial rights.,curated,2026-09-06T07:19:42+00:00
deepweeds:1.0,DeepWeeds,DeepWeeds Project,https://github.com/AlexOlsen/DeepWeeds,weed classification | agriculture,image-level classes,images,not_suitable,review_required,CC BY 4.0,allowed,direct_public,"about 17,500 labeled images",P1,Agricultural weed dataset valuable for classification baselines and discovery.,It is not a detection or mask dataset; use only after a task-specific annotation plan is approved.,curated,2026-09-06T07:19:42+00:00
global-wheat:2020,Global Wheat Detection,Global Wheat Challenge,https://www.kaggle.com/competitions/global-wheat-detection/data,wheat head detection | agriculture,bounding boxes,images,conversion_required,box_prompt_convertible,CC BY 4.0; verify the current competition terms,conditional,terms_acceptance_required,"about 3,400 training images",P1,Focused field imagery for crop-counting and small-object detection pilots.,Kaggle acceptance and any current competition terms must be recorded before retrieval.,curated,2026-09-06T07:19:42+00:00
open-images:v7,Open Images V7,Google Open Images,https://storage.googleapis.com/openimages/web/index.html,object detection | instance segmentation | visual relationships,bounding boxes | instance masks | image labels,images,conversion_required,mask_ready,Per-image Creative Commons license and attribution metadata,conditional,direct_public,large-scale; select classes and splits before intake,P1,Broad visual vocabulary suitable for detection and mask evaluation pilots.,Rights and attribution must be evaluated per image; do not bulk mirror before an image-level license filter is implemented.,curated,2026-09-06T07:19:42+00:00
lvis:v1,LVIS v1,LVIS,https://www.lvisdataset.org/,long-tail object detection | instance segmentation,COCO-compatible boxes | instance masks,images,coco_convertible,mask_ready,Annotations under LVIS terms; underlying COCO image rights remain image-level,conditional,direct_public,large COCO-derived annotation set,P1,Long-tail classes complement COCO when benchmark depth matters.,Requires a joint review of LVIS annotation terms and the underlying COCO image licenses.,curated,2026-09-06T07:19:42+00:00
bdd100k:2020,BDD100K,Berkeley DeepDrive,https://bdd-data.berkeley.edu/,driving detection | lane segmentation | tracking,boxes | masks | lanes | tracking labels,images | video,conversion_required,mask_ready,Academic and research dataset terms,research_only,terms_acceptance_required,"100,000 images plus video assets",P2,Rich driving-scene benchmark for internal research comparisons.,Requires acceptance of the provider terms and should remain segregated from commercial inventory.,curated,2026-09-06T07:19:42+00:00
cityscapes:2024,Cityscapes,Cityscapes Dataset,https://www.cityscapes-dataset.com/,urban scene segmentation | detection,semantic masks | instance masks | boxes,images | video,conversion_required,mask_ready,Cityscapes non-commercial dataset license,research_only,registration_required,fine and coarse annotation packages,P2,High-quality urban segmentation benchmark for research evaluation.,Registration and non-commercial constraints preclude automatic production intake.,curated,2026-09-06T07:19:42+00:00
dfire:2022,D-Fire,D-Fire Dataset,https://github.com/gaiasd/DFireDataset,fire detection | smoke detection,bounding boxes,images,conversion_required,box_prompt_convertible,Research-use terms; review upstream license,research_only,direct_public,"about 21,000 images",P2,Smoke and fire benchmark suitable for offline R&D evaluation only.,Do not place in a commercial intake batch until the provider grants suitable rights.,curated,2026-09-06T07:19:42+00:00
dota:v2,DOTA,DOTA Dataset,https://captain-whu.github.io/DOTA/dataset.html,aerial oriented object detection,oriented bounding boxes,remote-sensing images,conversion_required,box_prompt_convertible,Research-use dataset terms,research_only,terms_acceptance_required,large aerial imagery release,P2,Oriented-box benchmark useful for later geospatial perception support.,Requires oriented-box conversion and a separate rights assessment for aerial imagery.,curated,2026-09-06T07:19:42+00:00
mapillary:vistas,Mapillary Vistas,Mapillary,https://www.mapillary.com/dataset/vistas,street-scene semantic segmentation,semantic masks,images,conversion_required,mask_ready,Mapillary dataset license and terms,conditional,terms_acceptance_required,large street-scene corpus,P2,Street-scene segmentation candidate for road and municipal perception research.,"Review current Mapillary terms, geographic privacy rules and redistribution restrictions before retrieval.",curated,2026-09-06T07:19:42+00:00
ade20k:2021,ADE20K,MIT CSAIL,https://groups.csail.mit.edu/vision/datasets/ADE20K/,scene parsing | semantic segmentation,semantic masks | object parts,images,conversion_required,mask_ready,Dataset terms; verify the current release license,unknown,direct_public,"20,000+ annotated images",P2,Scene-parsing benchmark for mask and taxonomy research.,Do not infer commercial rights from public availability; complete a license review first.,curated,2026-09-06T07:19:42+00:00
sh17:safety-helmet,SH17 Safety Helmet Dataset,SH17 Dataset,https://github.com/ahmadmughees/sh17dataset,PPE detection | construction safety,bounding boxes,images,conversion_required,box_prompt_convertible,CC BY-NC-SA 4.0,research_only,direct_public,"about 8,000 images",P2,PPE benchmark for non-commercial baseline comparison.,Non-commercial license excludes marketplace and production reuse without a separate authorization.,curated,2026-09-06T07:19:42+00:00
pascal-voc:2012,PASCAL VOC 2012,University of Oxford,https://host.robots.ox.ac.uk/pascal/VOC/,object detection | semantic segmentation,boxes | segmentation masks,images,conversion_required,mask_ready,PASCAL VOC terms; inspect image sources,unknown,direct_public,small benchmark corpus,P2,Compact benchmark for parser and conversion smoke tests.,Use only after image-source and downstream-use conditions are reviewed.,curated,2026-09-06T07:19:42+00:00
visdrone:2019,VisDrone,VisDrone,https://github.com/VisDrone/VisDrone-Dataset,drone object detection | tracking,bounding boxes | tracking labels,images | video,conversion_required,box_prompt_convertible,Research dataset terms; verify current release license,research_only,direct_public,images and video sequences,P2,Aerial small-object detection reference for drone and infrastructure research.,Separate video/privacy review is required before any copy into platform storage.,curated,2026-09-06T07:19:42+00:00
xview:2018,xView,xView Challenge,https://challenge.xviewdataset.org/,satellite object detection,bounding boxes,satellite imagery,conversion_required,box_prompt_convertible,xView terms and imagery license,conditional,registration_required,large satellite imagery release,P2,Satellite detection benchmark for future land and infrastructure analysis.,"Registration, imagery-use restrictions and possible export controls require review before retrieval.",curated,2026-09-06T07:19:42+00:00
huggingface:abdullahmeda/yolov8-table-detection,abdullahmeda/yolov8-table-detection,Hugging Face Hub,https://huggingface.co/datasets/abdullahmeda/yolov8-table-detection,object-detection,YOLO (directory tag),image or multimodal; inspect dataset card,native_yolo,box_prompt_convertible,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""yolo"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:yolo,2026-09-06T07:19:42+00:00
huggingface:AdamShih/Marine-Semantic-Segmentation-Training-Dataset,AdamShih/Marine-Semantic-Segmentation-Training-Dataset,Hugging Face Hub,https://huggingface.co/datasets/AdamShih/Marine-Semantic-Segmentation-Training-Dataset,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,not declared in API response,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""semantic segmentation"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:semantic segmentation,2026-09-06T07:19:42+00:00
huggingface:adarshxs/voxcpm2-sglang-omni-samples,adarshxs/voxcpm2-sglang-omni-samples,Hugging Face Hub,https://huggingface.co/datasets/adarshxs/voxcpm2-sglang-omni-samples,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,apache-2.0,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""sam"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:sam,2026-09-06T07:19:42+00:00
huggingface:afshin-dini/Egg-Instance-Segmentation,afshin-dini/Egg-Instance-Segmentation,Hugging Face Hub,https://huggingface.co/datasets/afshin-dini/Egg-Instance-Segmentation,unknown,unknown,image or multimodal; inspect dataset card,review_required,review_required,mit,unknown,terms_acceptance_required,inspect dataset card and repository files,P3,"Hugging Face public-directory candidate discovered by query ""instance segmentation"".","Directory tags and license fields are unverified metadata. Review the dataset card, files, upstream rights and personal-data risk before any download.",huggingface-api:instance segmentation,2026-09-06T07:19:42+00:00
