batch,source_id,title,catalog_url,priority,commercial_use,yolo_readiness,sam3_readiness,intake_status,required_review
batch-1,rtk:road-traversing-knowledge,Road Traversing Knowledge,https://doi.org/10.17632/hssswvmjwf.1,P0,allowed,conversion_required,mask_ready,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
batch-1,taco:2020,TACO: Trash Annotations in Context,https://tacodataset.org/,P0,allowed,coco_convertible,mask_ready,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
batch-2,coco:2017,COCO 2017,https://cocodataset.org/#home,P1,conditional,coco_convertible,mask_ready,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
batch-2,rdd:2022,Road Damage Dataset 2022,https://crddc2022.sekilab.global/,P1,conditional,conversion_required,box_prompt_convertible,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
batch-2,deepweeds:1.0,DeepWeeds,https://github.com/AlexOlsen/DeepWeeds,P1,allowed,not_suitable,review_required,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
batch-2,global-wheat:2020,Global Wheat Detection,https://www.kaggle.com/competitions/global-wheat-detection/data,P1,conditional,conversion_required,box_prompt_convertible,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
batch-2,open-images:v7,Open Images V7,https://storage.googleapis.com/openimages/web/index.html,P1,conditional,conversion_required,mask_ready,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
batch-2,lvis:v1,LVIS v1,https://www.lvisdataset.org/,P1,conditional,coco_convertible,mask_ready,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,bdd100k:2020,BDD100K,https://bdd-data.berkeley.edu/,P2,research_only,conversion_required,mask_ready,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,cityscapes:2024,Cityscapes,https://www.cityscapes-dataset.com/,P2,research_only,conversion_required,mask_ready,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,dfire:2022,D-Fire,https://github.com/gaiasd/DFireDataset,P2,research_only,conversion_required,box_prompt_convertible,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,dota:v2,DOTA,https://captain-whu.github.io/DOTA/dataset.html,P2,research_only,conversion_required,box_prompt_convertible,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
backlog,mapillary:vistas,Mapillary Vistas,https://www.mapillary.com/dataset/vistas,P2,conditional,conversion_required,mask_ready,catalogued_not_downloaded,"license, upstream terms, personal data, task fit, checksum, storage budget"
